date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:06	239073/239073	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v3.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v3.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:07	246348/246348	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v4.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v4.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:07	223266/223266	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v5.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/shop-layout-v5.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:07	260607/260607	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v1.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v1.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:08	262828/262828	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v2.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v2.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:08	255857/255857	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v3.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v3.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:08	254343/254343	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v4.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v4.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:08	260184/260184	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v5.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v5.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:09	260887/260887	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v6.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v6.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
17:39:09	258434/258434	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jun%202023%2010:38:16%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v7.html	C:/My%20Web%20Sites/Cloting_shop01/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v7.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
